,city,city_lat,city_lng
171,Montezuma,39.581706,-105.868071
172,Montrose,38.469173,-107.860682
173,Monument,39.074698,-104.843906
174,Morrison,39.625613,-105.207919
175,Mount Crested Butte,38.908453,-106.958673
176,Mountain View,39.774776,-105.056711
177,Mountain Village,37.932377,-107.857854
178,Naturita,38.218554,-108.568286
179,Nederland,39.963815,-105.505864
180,New Castle,39.578289,-107.526243
181,Northglenn,39.911166,-104.97884
182,Norwood,38.128846,-108.291711
183,Nucla,38.266534,-108.548716
184,Nunn,40.711917,-104.789804
185,Oak Creek,40.273991,-106.957083
186,Olathe,38.608319,-107.982841
187,Olney Springs,38.166274,-103.944491
188,Ophir,37.85684,-107.829023
189,Orchard City,38.814059,-107.967542
190,Ordway,38.220898,-103.756679
191,Otis,40.150129,-102.962138
192,Ouray,38.02743,-107.67358
193,Ovid,40.960564,-102.388352
194,Pagosa Springs,37.263604,-107.00353
195,Palisade,39.107404,-108.359087
196,Palmer Lake,39.113465,-104.899806
197,Paoli,40.612871,-102.472061
198,Paonia,38.869824,-107.591433
199,Parachute,39.450047,-108.055481
200,Parker,39.504167,-104.773173
201,Peetz,40.962046,-103.114231
202,Pierce,40.633499,-104.755178
203,Pitkin,38.608612,-106.516466
204,Platteville,40.216683,-104.824077
205,Poncha Springs,38.518844,-106.072576
206,Pritchett,37.370009,-102.858749
207,Pueblo,38.269934,-104.612294
208,Ramah,39.122238,-104.167334
209,Rangely,40.095177,-108.75674
210,Raymer,40.607758,-103.844329
211,Red Cliff,39.509143,-106.37003
212,Rico,37.688569,-108.031434
213,Ridgway,38.159128,-107.753111
214,Rifle,39.537565,-107.770345
215,Rockvale,38.364713,-105.164779
216,Rocky Ford,38.050212,-103.722672
217,Romeo,37.171819,-105.985414
218,Rye,37.921281,-104.932135
219,Saguache,38.086247,-106.140876
220,Salida,38.530275,-105.998784
221,San Luis,37.202341,-105.422469
222,Sanford,37.257425,-105.900741
223,Sawpit,37.994621,-108.001189
224,Sedgwick,40.935068,-102.525674
225,Seibert,39.297967,-102.869524
226,Severance,40.539441,-104.870121
227,Sheridan,39.647757,-105.017457
228,Sheridan Lake,38.466677,-102.294142
229,Silt,39.547648,-107.654073
230,Silver Cliff,38.129203,-105.399189
231,Silver Plume,39.695445,-105.726666
232,Silverthorne,39.654012,-106.092443
233,Silverton,37.811092,-107.664643
234,Simla,39.141051,-104.081754
235,Snowmass Village,39.216872,-106.943974
236,South Fork,37.669186,-106.642851
237,Springfield,37.404915,-102.618898
238,Starkville,37.11682,-104.523298
239,Steamboat Springs,40.475587,-106.822935
240,Sterling,40.620706,-103.191867
241,Stratton,39.302883,-102.603473
242,Sugar City,38.232773,-103.663312
243,Superior,39.93119,-105.159085
244,Swink,38.014148,-103.628163
245,Telluride,37.939664,-107.817888
246,Thornton,39.91942,-104.942808
247,Timnath,40.53309,-104.961193
248,Trinidad,37.173157,-104.490326
249,Two Buttes,37.560664,-102.396556
250,Vail,39.637527,-106.364526
251,Victor,38.709004,-105.141855
252,Vilas,37.373664,-102.447416
253,Vona,39.302119,-102.743352
254,Walden,40.731584,-106.281336
255,Walsenburg,37.630598,-104.781719
256,Walsh,37.386107,-102.279933
257,Ward,40.073201,-105.515621
258,Wellington,40.699366,-105.005825
259,Westcliffe,38.134203,-105.465306
260,Westminster,39.88219,-105.064426
261,Wheat Ridge,39.772675,-105.104801
262,Wiggins,40.226588,-104.073498
263,Wiley,38.155356,-102.719248
264,Williamsburg,38.383984,-105.171179
265,Windsor,40.477555,-104.9168
266,Winter Park,39.877821,-105.782813
267,Woodland Park,38.998706,-105.059533
268,Wray,40.079953,-102.228622
269,Yampa,40.152996,-106.908496
270,Yuma,40.1244,-102.717612
